Common name	Scientific name	Status	No.	No. Back
Rustic Bunting	Emberiza rustica		68	5
Yellow-throated Bunting	Emberiza elegans		48	15
Yellow-breasted Bunting	Emberiza aureola		32	11
Grey Bunting	Emberiza variabilis		26	0
Pallas's Reed Bunting	Emberiza pallasi		25	6
Common Reed Bunting	Emberiza schoeniclus		514	498
Lark Bunting	Calamospiza melanocorys		53	37
Fox Sparrow	Passerella iliaca		464	134
Song Sparrow	Melospiza melodia		613	1229
Lincoln's Sparrow	Melospiza lincolnii		175	144
Swamp Sparrow	Melospiza georgiana		130	162
Rufous-collared Sparrow	Zonotrichia capensis		537	946
Harris's Sparrow	Zonotrichia querula		46	5
White-crowned Sparrow	Zonotrichia leucophrys		283	310
White-throated Sparrow	Zonotrichia albicollis		346	597
Golden-crowned Sparrow	Zonotrichia atricapilla		98	28
Volcano Junco	Junco vulcani		6	0
Dark-eyed Junco	Junco hyemalis		374	454
Guadalupe Junco	Junco insularis		0	0
Yellow-eyed Junco	Junco phaeonotus		109	74
Savannah Sparrow	Passerculus sandwichensis		201	239
Seaside Sparrow	Ammodramus maritimus		46	7
Nelson's Sparrow	Ammodramus nelsoni		31	21
Saltmarsh Sparrow	Ammodramus caudacutus		6	1
Le Conte's Sparrow	Ammodramus leconteii		94	64
Baird's Sparrow	Ammodramus bairdii		75	40
Henslow's Sparrow	Ammodramus henslowii		71	26
Grasshopper Sparrow	Ammodramus savannarum		148	84
Grassland Sparrow	Ammodramus humeralis		95	56
Yellow-browed Sparrow	Ammodramus aurifrons		80	62
Sierra Madre Sparrow	Xenospiza baileyi		15	0
American Tree Sparrow	Spizella arborea		81	27
Chipping Sparrow	Spizella passerina		232	440
Field Sparrow	Spizella pusilla		145	209
Worthen's Sparrow	Spizella wortheni		22	0
Black-chinned Sparrow	Spizella atrogularis		58	41
Clay-colored Sparrow	Spizella pallida		126	101
Brewer's Sparrow	Spizella breweri		143	74
Vesper Sparrow	Pooecetes gramineus		135	122
Lark Sparrow	Chondestes grammacus		112	23
Five-striped Sparrow	Amphispiza quinquestriata		40	3
Black-throated Sparrow	Amphispiza bilineata		150	168
Bell's Sparrow	Artemisiospiza belli		65	18
Tumbes Sparrow	Rhynchospiza stolzmanni		31	2
Stripe-capped Sparrow	Rhynchospiza strigiceps		20	0
Stripe-headed Sparrow	Peucaea ruficauda		38	17
Black-chested Sparrow	Peucaea humeralis		33	1
Bridled Sparrow	Peucaea mystacalis		26	0
Cinnamon-tailed Sparrow	Peucaea sumichrasti		23	1
Rufous-winged Sparrow	Peucaea carpalis		87	22
Cassin's Sparrow	Peucaea cassinii		117	92
Bachman's Sparrow	Peucaea aestivalis		67	38
Botteri's Sparrow	Peucaea botterii		132	30
Rufous-crowned Sparrow	Aimophila ruficeps		119	52
Rusty Sparrow	Aimophila rufescens		67	28
Oaxaca Sparrow	Aimophila notosticta		9	0
Striped Sparrow	Oriturus superciliosus		22	2
Blue Finch	Porphyrospiza caerulescens		12	1
Green-tailed Towhee	Pipilo chlorurus		146	86
Collared Towhee	Pipilo ocai		35	2
Spotted Towhee	Pipilo maculatus		501	633
Eastern Towhee	Pipilo erythrophthalmus		216	455
White-throated Towhee	Melozone albicollis		27	17
Canyon Towhee	Melozone fusca		168	235
California Towhee	Melozone crissalis		63	142
Abert's Towhee	Melozone aberti		77	82
Rusty-crowned Ground Sparrow	Melozone kieneri		26	2
Prevost's Ground Sparrow	Melozone biarcuata		19	2
Cabanis's Ground Sparrow	Melozone cabanisi		11	0
White-eared Ground Sparrow	Melozone leucotis		20	8
Olive Sparrow	Arremonops rufivirgatus		59	50
Tocuyo Sparrow	Arremonops tocuyensis		10	0
Green-backed Sparrow	Arremonops chloronotus		23	11
Black-striped Sparrow	Arremonops conirostris		125	60
Pectoral Sparrow	Arremon taciturnus		91	96
Sao Francisco Sparrow	Arremon franciscanus		21	3
Saffron-billed Sparrow	Arremon flavirostris		59	8
Orange-billed Sparrow	Arremon aurantiirostris		158	44
Golden-winged Sparrow	Arremon schlegeli		18	0
Black-capped Sparrow	Arremon abeillei		41	3
Chestnut-capped Brush Finch	Arremon brunneinucha		201	93
Green-striped Brush Finch	Arremon virenticeps		24	2
Black-headed Brush Finch	Arremon atricapillus		36	0
White-browed Brush Finch	Arremon torquatus		31	5
Sierra Nevada Brush Finch	Arremon basilicus		14	0
Perija Brush Finch	Arremon perijanus		5	0
Grey-browed Brush Finch	Arremon assimilis		147	19
Sooty-faced Finch	Arremon crassirostris		9	0
Olive Finch	Arremon castaneiceps		31	2
Large-footed Finch	Pezopetes capitalis		33	6
Rufous-capped Brush Finch	Atlapetes pileatus		42	4
Moustached Brush Finch	Atlapetes albofrenatus		53	1
Ochre-breasted Brush Finch	Atlapetes semirufus		21	1
Tepui Brush Finch	Atlapetes personatus		21	0
White-naped Brush Finch	Atlapetes albinucha		49	5
Santa Marta Brush Finch	Atlapetes melanocephalus		32	5
Pale-naped Brush Finch	Atlapetes pallidinucha		80	12
Yellow-headed Brush Finch	Atlapetes flaviceps		52	0
Dusky-headed Brush Finch	Atlapetes fuscoolivaceus		28	0
Tricolored Brush Finch	Atlapetes tricolor		10	0
White-rimmed Brush Finch	Atlapetes leucopis		33	1
Rufous-naped Brush Finch	Atlapetes latinuchus		128	51
Rufous-eared Brush Finch	Atlapetes rufigenis		13	0
Apurimac Brush Finch	Atlapetes forbesi		6	0
Black-spectacled Brush Finch	Atlapetes melanopsis		8	0
Slaty Brush Finch	Atlapetes schistaceus		88	17
White-winged Brush Finch	Atlapetes leucopterus		22	1
White-headed Brush Finch	Atlapetes albiceps		13	1
Pale-headed Brush Finch	Atlapetes pallidiceps		35	6
Bay-crowned Brush Finch	Atlapetes seebohmi		16	1
Rusty-bellied Brush Finch	Atlapetes nationi		12	1
Cuzco Brush Finch	Atlapetes canigenis		11	0
Vilcabamba Brush Finch	Atlapetes terborghi		0	0
Grey-eared Brush Finch	Atlapetes melanolaemus		15	1
Fulvous-headed Brush Finch	Atlapetes fulviceps		31	4
Yellow-thighed Finch	Pselliophorus tibialis		26	0
Yellow-green Finch	Pselliophorus luteoviridis		9	0
Yellow Cardinal	Gubernatrix cristata		3	0
Common Bush Tanager	Chlorospingus flavopectus		205	220
Tacarcuna Bush Tanager	Chlorospingus tacarcunae		3	1
Pirre Bush Tanager	Chlorospingus inornatus		4	3
Dusky Bush Tanager	Chlorospingus semifuscus		44	23
Sooty-capped Bush Tanager	Chlorospingus pileatus		37	9
Yellow-whiskered Bush Tanager	Chlorospingus parvirostris		12	2
Yellow-throated Bush Tanager	Chlorospingus flavigularis		86	29
Yellow-green Bush Tanager	Chlorospingus flavovirens		15	1
Ashy-throated Bush Tanager	Chlorospingus canigularis		31	13
Brown Tanager	Orchesticus abeillei		24	5
Red-crested Cardinal	Paroaria coronata		53	10
Red-cowled Cardinal	Paroaria dominicana		18	6
Red-capped Cardinal	Paroaria gularis		22	10
Masked Cardinal	Paroaria nigrogenis		2	0
Crimson-fronted Cardinal	Paroaria baeri		2	1
Yellow-billed Cardinal	Paroaria capitata		14	2
Cinnamon Tanager	Schistochlamys ruficapillus		23	3
Black-faced Tanager	Schistochlamys melanopis		26	2
Magpie Tanager	Cissopis leverianus		68	13
Black-and-white Tanager	Conothraupis speculigera		16	7
Cone-billed Tanager	Conothraupis mesoleuca		7	0
Red-billed Pied Tanager	Lamprospiza melanoleuca		43	16
Scarlet-throated Tanager	Compsothraupis loricata		23	8
White-capped Tanager	Sericossypha albocristata		82	9
Hooded Tanager	Nemosia pileata		38	3
Cherry-throated Tanager	Nemosia rourei		6	1
Rufous-crested Tanager	Creurgops verticalis		16	0
Slaty Tanager	Creurgops dentatus		5	0
Dusky-faced Tanager	Mitrospingus cassinii		44	10
Olive-backed Tanager	Mitrospingus oleagineus		13	0
Olive-green Tanager	Orthogonys chloricterus		34	4
Black-capped Hemispingus	Hemispingus atropileus		43	8
Orange-browed Hemispingus	Hemispingus calophrys		12	3
Parodi's Hemispingus	Hemispingus parodii		13	1
Superciliaried Hemispingus	Hemispingus superciliaris		79	30
Grey-capped Hemispingus	Hemispingus reyi		11	0
Oleaginous Hemispingus	Hemispingus frontalis		27	5
Black-eared Hemispingus	Hemispingus melanotis		33	10
Slaty-backed Hemispingus	Hemispingus goeringi		0	0
Rufous-browed Hemispingus	Hemispingus rufosuperciliaris		14	1
Black-headed Hemispingus	Hemispingus verticalis		23	0
Drab Hemispingus	Hemispingus xanthophthalmus		3	0
Three-striped Hemispingus	Hemispingus trifasciatus		5	1
Grey-hooded Bush Tanager	Cnemoscopus rubrirostris		27	4
Fulvous-headed Tanager	Thlypopsis fulviceps		5	1
Rufous-chested Tanager	Thlypopsis ornata		20	1
Brown-flanked Tanager	Thlypopsis pectoralis		4	0
Orange-headed Tanager	Thlypopsis sordida		44	6
Buff-bellied Tanager	Thlypopsis inornata		14	0
Rust-and-yellow Tanager	Thlypopsis ruficeps		11	1
Chestnut-headed Tanager	Pyrrhocoma ruficeps		35	8
White-rumped Tanager	Cypsnagra hirundinacea		39	6
Pardusco	Nephelornis oneilli		12	0
Black-goggled Tanager	Trichothraupis melanops		64	20
Grey-headed Tanager	Eucometis penicillata		68	15
Flame-crested Tanager	Tachyphonus cristatus		25	8
Yellow-crested Tanager	Tachyphonus rufiventer		1	0
Fulvous-crested Tanager	Tachyphonus surinamus		20	4
White-shouldered Tanager	Tachyphonus luctuosus		42	6
Tawny-crested Tanager	Tachyphonus delatrii		41	52
Ruby-crowned Tanager	Tachyphonus coronatus		87	42
White-lined Tanager	Tachyphonus rufus		45	11
Red-shouldered Tanager	Tachyphonus phoenicius		13	0
Black-throated Shrike-Tanager	Lanio aurantius		10	1
White-throated Shrike-Tanager	Lanio leucothorax		23	4
Fulvous Shrike-Tanager	Lanio fulvus		47	27
White-winged Shrike-Tanager	Lanio versicolor		34	53
Crimson-collared Tanager	Ramphocelus sanguinolentus		11	0
Masked Crimson Tanager	Ramphocelus nigrogularis		30	7
Crimson-backed Tanager	Ramphocelus dimidiatus		50	40
Huallaga Tanager	Ramphocelus melanogaster		9	2
Silver-beaked Tanager	Ramphocelus carbo		130	334
Brazilian Tanager	Ramphocelus bresilius		56	28
Passerini's Tanager	Ramphocelus passerinii		27	10
Cherrie's Tanager	Ramphocelus costaricensis		20	8
Flame-rumped Tanager	Ramphocelus flammigerus		12	30
Lemon-rumped Tanager	Ramphocelus icteronotus		50	76
Blue-grey Tanager	Thraupis episcopus		150	200
Sayaca Tanager	Thraupis sayaca		100	108
Glaucous Tanager	Thraupis glaucocolpa		6	1
Azure-shouldered Tanager	Thraupis cyanoptera		25	14
Golden-chevroned Tanager	Thraupis ornata		38	13
Yellow-winged Tanager	Thraupis abbas		30	9
Palm Tanager	Thraupis palmarum		117	139
Blue-capped Tanager	Thraupis cyanocephala		47	4
Blue-and-yellow Tanager	Thraupis bonariensis		53	6
Vermilion Tanager	Calochaetes coccineus		9	1
Blue-backed Tanager	Cyanicterus cyanicterus		11	2
Blue-and-gold Tanager	Bangsia arcaei		2	0
Black-and-gold Tanager	Bangsia melanochlamys		23	1
Golden-chested Tanager	Bangsia rothschildi		16	0
Moss-backed Tanager	Bangsia edwardsi		24	4
Gold-ringed Tanager	Bangsia aureocincta		20	2
Orange-throated Tanager	Wetmorethraupis sterrhopteron		35	2
Hooded Mountain Tanager	Buthraupis montana		71	19
Black-chested Mountain Tanager	Buthraupis eximia		21	5
Golden-backed Mountain Tanager	Buthraupis aureodorsalis		10	0
Masked Mountain Tanager	Buthraupis wetmorei		16	1
Santa Marta Mountain Tanager	Anisognathus melanogenys		11	0
Lacrimose Mountain Tanager	Anisognathus lacrymosus		63	19
Scarlet-bellied Mountain Tanager	Anisognathus igniventris		119	46
Blue-winged Mountain Tanager	Anisognathus somptuosus		57	52
Black-chinned Mountain Tanager	Anisognathus notabilis		26	1
Grass-green Tanager	Chlorornis riefferii		78	22
Buff-breasted Mountain Tanager	Dubusia taeniata		89	17
Chestnut-bellied Mountain Tanager	Delothraupis castaneoventris		18	2
Diademed Tanager	Stephanophorus diadematus		64	35
Purplish-mantled Tanager	Iridosornis porphyrocephalus		26	0
Yellow-throated Tanager	Iridosornis analis		30	3
Golden-collared Tanager	Iridosornis jelskii		3	0
Golden-crowned Tanager	Iridosornis rufivertex		19	1
Yellow-scarfed Tanager	Iridosornis reinhardti		9	0
Fawn-breasted Tanager	Pipraeidea melanonota		87	7
Shrike-like Tanager	Neothraupis fasciata		22	0
Glistening-green Tanager	Chlorochrysa phoenicotis		30	39
Orange-eared Tanager	Chlorochrysa calliparaea		14	2
Multicolored Tanager	Chlorochrysa nitidissima		18	5
Plain-colored Tanager	Tangara inornata		15	0
Cabanis's Tanager	Tangara cabanisi		14	2
Grey-and-gold Tanager	Tangara palmeri		17	2
Turquoise Tanager	Tangara mexicana		20	14
Paradise Tanager	Tangara chilensis		62	78
Seven-colored Tanager	Tangara fastuosa		6	0
Green-headed Tanager	Tangara seledon		29	15
Red-necked Tanager	Tangara cyanocephala		26	17
Brassy-breasted Tanager	Tangara desmaresti		32	8
Gilt-edged Tanager	Tangara cyanoventris		20	6
Blue-whiskered Tanager	Tangara johannae		11	0
Green-and-gold Tanager	Tangara schrankii		19	20
Emerald Tanager	Tangara florida		10	1
Golden Tanager	Tangara arthus		55	21
Silver-throated Tanager	Tangara icterocephala		22	4
Saffron-crowned Tanager	Tangara xanthocephala		22	1
Golden-eared Tanager	Tangara chrysotis		5	0
Flame-faced Tanager	Tangara parzudakii		28	1
Yellow-bellied Tanager	Tangara xanthogastra		9	1
Spotted Tanager	Tangara punctata		12	3
Speckled Tanager	Tangara guttata		17	0
Dotted Tanager	Tangara varia		10	0
Rufous-throated Tanager	Tangara rufigula		25	4
Bay-headed Tanager	Tangara gyrola		49	12
Rufous-winged Tanager	Tangara lavinia		15	2
Burnished-buff Tanager	Tangara cayana		38	27
Black-backed Tanager	Tangara peruviana		8	0
Chestnut-backed Tanager	Tangara preciosa		12	1
Scrub Tanager	Tangara vitriolina		37	5
Green-capped Tanager	Tangara meyerdeschauenseei		6	1
Rufous-cheeked Tanager	Tangara rufigenis		1	0
Golden-naped Tanager	Tangara ruficervix		13	1
Metallic-green Tanager	Tangara labradorides		26	6
Blue-browed Tanager	Tangara cyanotis		11	1
Blue-necked Tanager	Tangara cyanicollis		32	8
Golden-hooded Tanager	Tangara larvata		40	9
Masked Tanager	Tangara nigrocincta		25	4
Spangle-cheeked Tanager	Tangara dowii		6	0
Green-naped Tanager	Tangara fucosa		3	1
Beryl-spangled Tanager	Tangara nigroviridis		31	6
Blue-and-black Tanager	Tangara vassorii		33	9
Black-capped Tanager	Tangara heinei		39	15
Sira Tanager	Tangara phillipsi		2	0
Silver-backed Tanager	Tangara viridicollis		8	3
Straw-backed Tanager	Tangara argyrofenges		7	4
Black-headed Tanager	Tangara cyanoptera		15	0
Opal-rumped Tanager	Tangara velia		26	5
Opal-crowned Tanager	Tangara callophrys		10	2
Swallow Tanager	Tersina viridis		60	33
White-bellied Dacnis	Dacnis albiventris		8	1
Black-faced Dacnis	Dacnis lineata		9	7
Yellow-bellied Dacnis	Dacnis flaviventer		16	0
Turquoise Dacnis	Dacnis hartlaubi		15	0
Black-legged Dacnis	Dacnis nigripes		4	0
Scarlet-thighed Dacnis	Dacnis venusta		13	0
Blue Dacnis	Dacnis cayana		41	12
Viridian Dacnis	Dacnis viguieri		1	0
Scarlet-breasted Dacnis	Dacnis berlepschi		12	5
Short-billed Honeycreeper	Cyanerpes nitidus		8	2
Shining Honeycreeper	Cyanerpes lucidus		3	1
Purple Honeycreeper	Cyanerpes caeruleus		17	1
Red-legged Honeycreeper	Cyanerpes cyaneus		34	9
Green Honeycreeper	Chlorophanes spiza		33	5
Golden-collared Honeycreeper	Iridophanes pulcherrimus		7	0
Sulphur-rumped Tanager	Heterospingus rubrifrons		1	0
Scarlet-browed Tanager	Heterospingus xanthopygius		22	7
Guira Tanager	Hemithraupis guira		87	46
Rufous-headed Tanager	Hemithraupis ruficapilla		34	12
Yellow-backed Tanager	Hemithraupis flavicollis		27	10
Black-and-yellow Tanager	Chrysothlypis chrysomelas		10	0
Scarlet-and-white Tanager	Chrysothlypis salmoni		19	4
Tit-like Dacnis	Xenodacnis parina		43	8
Chestnut-vented Conebill	Conirostrum speciosum		65	24
White-eared Conebill	Conirostrum leucogenys		8	1
Bicolored Conebill	Conirostrum bicolor		41	5
Pearly-breasted Conebill	Conirostrum margaritae		18	0
Cinereous Conebill	Conirostrum cinereum		38	10
Tamarugo Conebill	Conirostrum tamarugense		19	2
White-browed Conebill	Conirostrum ferrugineiventre		4	1
Rufous-browed Conebill	Conirostrum rufum		14	3
Blue-backed Conebill	Conirostrum sitticolor		30	3
Capped Conebill	Conirostrum albifrons		29	3
Giant Conebill	Oreomanes fraseri		29	0
Cinnamon-bellied Flowerpiercer	Diglossa baritula		25	3
Slaty Flowerpiercer	Diglossa plumbea		18	5
Rusty Flowerpiercer	Diglossa sittoides		38	7
Chestnut-bellied Flowerpiercer	Diglossa gloriosissima		28	0
Glossy Flowerpiercer	Diglossa lafresnayii		66	19
Moustached Flowerpiercer	Diglossa mystacalis		22	3
Merida Flowerpiercer	Diglossa gloriosa		8	0
Black Flowerpiercer	Diglossa humeralis		38	9
Black-throated Flowerpiercer	Diglossa brunneiventris		28	9
Grey-bellied Flowerpiercer	Diglossa carbonaria		6	8
Venezuelan Flowerpiercer	Diglossa venezuelensis		1	0
White-sided Flowerpiercer	Diglossa albilatera		86	47
Scaled Flowerpiercer	Diglossa duidae		0	0
Greater Flowerpiercer	Diglossa major		8	0
Indigo Flowerpiercer	Diglossa indigotica		45	27
Golden-eyed Flowerpiercer	Diglossa glauca		28	11
Bluish Flowerpiercer	Diglossa caerulescens		58	14
Masked Flowerpiercer	Diglossa cyanea		100	79
Black-backed Bush Tanager	Urothraupis stolzmanni		13	0
Tanager Finch	Oreothraupis arremonops		38	2
Coal-crested Finch	Charitospiza eucosma		21	1
Many-colored Chaco Finch	Saltatricula multicolor		24	4
Black-masked Finch	Coryphaspiza melanotis		43	7
Grey Pileated Finch	Coryphospingus pileatus		47	12
Red Pileated Finch	Coryphospingus cucullatus		86	20
Crimson-breasted Finch	Rhodospingus cruentus		14	16
Black-hooded Sierra Finch	Phrygilus atriceps		27	0
Peruvian Sierra Finch	Phrygilus punensis		20	0
Grey-hooded Sierra Finch	Phrygilus gayi		24	5
Patagonian Sierra Finch	Phrygilus patagonicus		28	0
Mourning Sierra Finch	Phrygilus fruticeti		61	20
Plumbeous Sierra Finch	Phrygilus unicolor		46	2
Red-backed Sierra Finch	Phrygilus dorsalis		4	0
White-throated Sierra Finch	Phrygilus erythronotus		5	0
Ash-breasted Sierra Finch	Phrygilus plebejus		52	10
Band-tailed Sierra Finch	Phrygilus alaudinus		34	8
White-bridled Finch	Melanodera melanodera		10	0
Yellow-bridled Finch	Melanodera xanthogramma		25	1
Slaty Finch	Haplospiza rustica		47	5
Uniform Finch	Haplospiza unicolor		74	53
Peg-billed Finch	Acanthidops bairdi		17	6
Black-crested Finch	Lophospingus pusillus		12	2
Grey-crested Finch	Lophospingus griseocristatus		7	0
Long-tailed Reed Finch	Donacospiza albifrons		33	1
White-winged Diuca Finch	Diuca speculifera		18	3
Common Diuca Finch	Diuca diuca		32	5
Short-tailed Finch	Idiopsar brachyurus		3	0
Cinereous Finch	Piezorina cinerea		9	1
Slender-billed Finch	Xenospingus concolor		10	2
Great Inca Finch	Incaspiza pulchra		10	1
Rufous-backed Inca Finch	Incaspiza personata		13	0
Grey-winged Inca Finch	Incaspiza ortizi		29	0
Buff-bridled Inca Finch	Incaspiza laeta		16	0
Little Inca Finch	Incaspiza watkinsi		9	0
Bay-chested Warbling Finch	Poospiza thoracica		15	0
Bolivian Warbling Finch	Poospiza boliviana		3	0
Plain-tailed Warbling Finch	Poospiza alticola		9	1
Rufous-sided Warbling Finch	Poospiza hypocondria		2	0
Rusty-browed Warbling Finch	Poospiza erythrophrys		17	1
Black-and-rufous Warbling Finch	Poospiza nigrorufa		33	5
Buff-throated Warbling Finch	Poospiza lateralis		31	15
Rufous-breasted Warbling Finch	Poospiza rubecula		1	0
Collared Warbling Finch	Poospiza hispaniolensis		16	4
Ringed Warbling Finch	Poospiza torquata		31	1
Black-capped Warbling Finch	Poospiza melanoleuca		27	12
Cinereous Warbling Finch	Poospiza cinerea		30	0
Chestnut-breasted Mountain Finch	Poospiza caesar		2	0
Cochabamba Mountain Finch	Compsospiza garleppi		13	0
Tucuman Mountain Finch	Compsospiza baeri		15	1
Stripe-tailed Yellow Finch	Sicalis citrina		46	43
Puna Yellow Finch	Sicalis lutea		7	3
Bright-rumped Yellow Finch	Sicalis uropigyalis		24	2
Citron-headed Yellow Finch	Sicalis luteocephala		20	0
Greater Yellow Finch	Sicalis auriventris		78	2
Greenish Yellow Finch	Sicalis olivascens		39	2
Patagonian Yellow Finch	Sicalis lebruni		14	0
Orange-fronted Yellow Finch	Sicalis columbiana		9	1
Saffron Finch	Sicalis flaveola		157	118
Grassland Yellow Finch	Sicalis luteola		106	29
Raimondi's Yellow Finch	Sicalis raimondii		14	0
Sulphur-throated Finch	Sicalis taczanowskii		4	1
Wedge-tailed Grass Finch	Emberizoides herbicola		103	29
Lesser Grass Finch	Emberizoides ypiranganus		34	1
Duida Grass Finch	Emberizoides duidae		0	0
Pampa Finch	Embernagra platensis		105	13
Serra Finch	Embernagra longicauda		22	2
Blue-black Grassquit	Volatinia jacarina		179	188
